gene,DEstatus.2
GPBP1,FALSE
PSMG4,FALSE
ZNF439,FALSE
STXBP1,FALSE
ANGPTL2,FALSE
ESYT2,FALSE
SLC31A2,FALSE
SLC31A1,FALSE
ZNF440,FALSE
ZFP37,FALSE
ZNF189,FALSE
USP20,FALSE
PRPF4,FALSE
CDCA2,FALSE
LRRC8A,FALSE
TOR1B,FALSE
ODF2,FALSE
TXN,FALSE
KIAA0368,FALSE
TOR1A,FALSE
KLF4,FALSE
SMC2,FALSE
FIZ1,FALSE
NDUFB10,FALSE
PDPK1,FALSE
TIGD7,FALSE
FAM129B,FALSE
LRRK1,FALSE
DEF8,FALSE
RPS2,FALSE
ZSCAN32,FALSE
PGF,TRUE
LDLRAD3,FALSE
ACYP1,FALSE
RP11-74E22.6,FALSE
NEK9,FALSE
SATB2,FALSE
GTF3C3,FALSE
ACTB,FALSE
DNAL1,FALSE
NPC2,FALSE
DUX4L7,FALSE
ATP6V1G1,FALSE
MAP1LC3B,FALSE
MBTPS1,FALSE
BAAT,TRUE
CDH13,FALSE
NDUFB3,FALSE
PCNXL4,FALSE
ATG14,FALSE
KTN1,FALSE
KCTD2,FALSE
AREL1,FALSE
MRPL50,FALSE
MLH3,FALSE
TEX10,FALSE
CDH11,FALSE
DLGAP5,FALSE
PLCD3,FALSE
CDC42EP3,FALSE
BOLA3,FALSE
IDI2,TRUE
PTPN4,FALSE
ABCD4,FALSE
RNF149,FALSE
ERCC3,FALSE
IWS1,FALSE
FAM171A1,FALSE
MYL5,FALSE
PPIL3,FALSE
SPAG9,FALSE
RSU1,FALSE
TMEM236,TRUE
TM2D2,FALSE
FAM188A,FALSE
IFITM3,FALSE
USP6NL,FALSE
PROSER2,FALSE
SDC2,FALSE
COQ6,FALSE
C3orf38,FALSE
EIF2B2,FALSE
NRDE2,FALSE
UBA6,FALSE
RBM25,FALSE
AKAP11,FALSE
MUL1,FALSE
C5orf30,FALSE
RASAL2,FALSE
BAZ1A,FALSE
NOTCH1,FALSE
ZFAND6,FALSE
NDFIP2,FALSE
NACC2,FALSE
RP11-834C11.11,TRUE
NUCB2,FALSE
DPH7,FALSE
KIAA1328,FALSE
TMA7,FALSE
GPR107,FALSE
PHRF1,FALSE
LRSAM1,FALSE
RPL35,FALSE
PDCL,FALSE
HSPA14,FALSE
ARPC5L,FALSE
FAM73B,FALSE
PTGES,FALSE
TSTD2,FALSE
NCBP1,FALSE
ANP32B,FALSE
CALM1,FALSE
PSMB7,FALSE
RABEPK,FALSE
FZD5,FALSE
ITGB1BP1,FALSE
CCNYL1,FALSE
SPTY2D1,FALSE
DUX4L4,FALSE
PARD3,FALSE
BCAP29,FALSE
RP11-252A24.7,FALSE
RP11-483P21.3,TRUE
SRRT,FALSE
RETSAT,FALSE
RP11-430C7.5,TRUE
ABCC4,FALSE
EFNB2,FALSE
CDK6,FALSE
TK2,FALSE
PMPCB,FALSE
AC005355.1,TRUE
RAP2A,FALSE
TMTC4,FALSE
MAP7D3,FALSE
RNF182,FALSE
BET1,FALSE
NAMPT,FALSE
ATL1,FALSE
EP400,FALSE
TBC1D15,FALSE
IFFO2,FALSE
RP11-49C24.1,TRUE
USP22,FALSE
TWISTNB,FALSE
RRAD,FALSE
TOR1AIP2,FALSE
JAZF1,FALSE
ABCD1,FALSE
HIST1H2AC,FALSE
ATP11C,FALSE
STAG2,FALSE
XIAP,FALSE
MED16,FALSE
FAM96B,FALSE
SRPX,FALSE
OTUD3,FALSE
HIST1H2BC,FALSE
CCDC22,FALSE
ZNF706,FALSE
RNF170,FALSE
PPP3CC,FALSE
PCGF3,FALSE
MTRNR2L9,FALSE
RP11-797A18.4,TRUE
MIR4458HG,FALSE
MYO9B,FALSE
OCEL1,FALSE
MGA,FALSE
MZF1,FALSE
WDHD1,FALSE
PSMD8,FALSE
MAST3,FALSE
LYPLA1,FALSE
IDH2,FALSE
AVL9,FALSE
CYBRD1,FALSE
CCDC43,FALSE
TIMM21,FALSE
SEMA3D,FALSE
MPP6,FALSE
DFNA5,FALSE
DLAT,FALSE
C11orf57,FALSE
OGDH,FALSE
USP48,FALSE
PTS,FALSE
H2AFV,FALSE
RP11-221N13.4,TRUE
ATF7IP2,FALSE
PTDSS2,FALSE
ZC3HAV1,FALSE
GXYLT1,FALSE
RAB1B,FALSE
TTC26,FALSE
TMSB4X,FALSE
USP9Y,FALSE
TM9SF2,FALSE
UBE2C,FALSE
MIB2,FALSE
CACNA2D1,FALSE
ZFR,FALSE
C20orf195,TRUE
PPDPF,FALSE
MINA,FALSE
DEPDC7,FALSE
CAT,FALSE
SMC6,FALSE
C2orf44,FALSE
CRY2,FALSE
POLR2J,FALSE
LSM3,FALSE
FAM20A,FALSE
YWHAE,FALSE
C2orf48,TRUE
CCDC138,TRUE
NUP35,FALSE
KANSL1,FALSE
KIFAP3,FALSE
EFNB3,FALSE
MAPK8IP1,FALSE
MMD,FALSE
RANGRF,FALSE
SPDL1,FALSE
RAB44,TRUE
RNF126,FALSE
TSPAN6,FALSE
SKAP2,FALSE
MRTO4,FALSE
FSTL3,FALSE
RRP15,FALSE
MTPN,FALSE
DDX18,FALSE
TMED1,FALSE
KIF18A,FALSE
SORBS3,FALSE
CBLL1,FALSE
SP4,FALSE
PLEC,FALSE
MCAM,FALSE
HBP1,FALSE
INHBB,FALSE
CLU,FALSE
ZNF2,FALSE
DUSP4,FALSE
DDX31,FALSE
GTF3C4,FALSE
TTF1,FALSE
PTN,FALSE
FLNA,FALSE
PABPC4,FALSE
PITPNB,FALSE
TEC,TRUE
RP11-304L19.5,FALSE
RNF213,FALSE
UBE3B,FALSE
WDR37,FALSE
ENDOV,FALSE
COX7B,FALSE
PGAP3,FALSE
SH3BGRL,FALSE
ATR,FALSE
PHLDA2,FALSE
XYLT2,FALSE
C12orf23,FALSE
C12orf45,FALSE
HOOK2,FALSE
PCCA,FALSE
CHST2,FALSE
RFXANK,FALSE
STK11,FALSE
PRR24,FALSE
GZF1,FALSE
DUSP14,FALSE
STK35,FALSE
TMX4,FALSE
RBCK1,FALSE
FLRT3,FALSE
RRBP1,FALSE
BMP2,FALSE
YBX3,FALSE
LIN54,FALSE
OTOR,TRUE
ITPA,FALSE
TBC1D20,FALSE
MGME1,FALSE
SNRPB2,FALSE
MKKS,FALSE
PISD,FALSE
FAM110A,FALSE
TOMM70A,FALSE
STYK1,TRUE
RP11-274B21.8,TRUE
RP11-227G15.9,TRUE
FAM76A,FALSE
SYNM,FALSE
RP11-18H21.3,TRUE
CDYL2,FALSE
RLIM,FALSE
ABCB7,FALSE
RP3-393E18.2,TRUE
RP4-536B24.3,FALSE
EIF1AX,FALSE
PARL,FALSE
MRPS10,FALSE
NKAP,FALSE
PTPN2,FALSE
MID1,FALSE
CACNA1C,FALSE
DCP1B,FALSE
DCP2,FALSE
PSMD10,FALSE
ATG4A,FALSE
SMAD2,FALSE
TBL1X,FALSE
TRIM33,FALSE
TBK1,FALSE
MRPS22,FALSE
LINC00493,FALSE
POLA1,FALSE
ATMIN,FALSE
GS1-279B7.2,TRUE
PRPS2,FALSE
MOSPD1,FALSE
CTD-2410N18.3,FALSE
PI4KA,FALSE
SUV39H1,FALSE
CDKL4,TRUE
GPCPD1,FALSE
PANK2,FALSE
DMXL1,FALSE
ALG13,FALSE
DNTTIP2,FALSE
SEC62,FALSE
ZNF519,FALSE
WNK1,FALSE
WFIKKN2,FALSE
PLCB1,FALSE
VTRNA2-1,FALSE
TSHZ1,FALSE
PRKAR2B,FALSE
RPS6KL1,TRUE
RP11-122G18.8,TRUE
CNP,FALSE
VAPA,FALSE
USP14,FALSE
ENY2,FALSE
ASUN,FALSE
RP11-11N7.4,FALSE
ADNP2,FALSE
IL27RA,FALSE
CALCOCO2,FALSE
GS1-304P7.3,TRUE
VEZF1,FALSE
RSAD1,FALSE
NMT1,FALSE
METTL4,FALSE
LANCL2,FALSE
SEC61G,FALSE
MAP4,FALSE
DCAF7,FALSE
CEP63,FALSE
EGFR,FALSE
LINC01031,TRUE
RAB11A,FALSE
TEX2,FALSE
NSD1,FALSE
BRIP1,FALSE
BICD1,FALSE
LIMD2,FALSE
MTERFD2,FALSE
NDUFB7,FALSE
SIK2,FALSE
NUDCD1,FALSE
AK2,FALSE
HNRNPM,FALSE
IGDCC4,FALSE
KDM1A,FALSE
OLFML2A,FALSE
CNOT10,FALSE
NPAS4,FALSE
CDC45,FALSE
UST,FALSE
RCOR1,FALSE
PURB,FALSE
IGFBP3,FALSE
COMT,FALSE
ULBP1,FALSE
MRPL11,FALSE
PDHA1,FALSE
POLG2,TRUE
TMEM186,FALSE
NFE2L1,FALSE
ZFP90,FALSE
RP11-479G22.8,FALSE
TAS2R8,TRUE
NASP,FALSE
MUTYH,TRUE
ZNF469,FALSE
UBE2E3,FALSE
OPA1,FALSE
RP11-508N22.13,TRUE
KLF12,FALSE
STX10,FALSE
TRMT1,FALSE
OAZ1,FALSE
BRCC3,FALSE
SELT,FALSE
MTFMT,FALSE
ZDHHC6,FALSE
DLC1,FALSE
PTOV1,FALSE
TBC1D17,FALSE
ACOT12,TRUE
ZNF516,FALSE
TIMM44,FALSE
TNFRSF11B,FALSE
SNAPC2,FALSE
RAD21,FALSE
PEX2,FALSE
AES,FALSE
SGTA,FALSE
RNASEH2A,FALSE
SF3A2,FALSE
AMH,TRUE
FCGRT,FALSE
RMI1,FALSE
PIH1D1,FALSE
USP47,FALSE
C15orf41,FALSE
ERCC2,FALSE
PLEKHJ1,FALSE
RNMT,FALSE
TTC23,FALSE
UCHL1,FALSE
CEP192,FALSE
FAH,FALSE
CEP76,FALSE
KIAA1199,FALSE
MRPL13,FALSE
ANKRD13A,FALSE
FAM83C,FALSE
C19orf26,FALSE
CCZ1B,FALSE
C5orf54,FALSE
SNTB1,FALSE
LENG9,FALSE
VCL,FALSE
CREB5,FALSE
NECAB3,FALSE
HBA1,FALSE
RPL35A,FALSE
EIF2S2,FALSE
PTTG1IP,FALSE
ANKDD1B,TRUE
RALY,FALSE
SETD8,FALSE
FABP5,FALSE
GLI2,FALSE
CLASP1,FALSE
NIPAL4,FALSE
DLD,FALSE
BCL9L,FALSE
ZNF57,FALSE
CCBE1,FALSE
GYS1,FALSE
ST3GAL1,FALSE
NUCB1,FALSE
DHDH,TRUE
MPZL1,FALSE
HOXB2,FALSE
PUS7,FALSE
S100A6,FALSE
LAMB1,FALSE
LIN7B,FALSE
PIK3CA,FALSE
RELB,FALSE
ARHGEF11,FALSE
CLASRP,FALSE
KIAA0907,FALSE
SNRNP70,FALSE
PHF20L1,FALSE
NES,FALSE
HES5,FALSE
SMCHD1,FALSE
ZNF639,FALSE
NFKBIB,FALSE
POLI,FALSE
MIB1,FALSE
SLC8A1,FALSE
RIOK3,FALSE
RBBP8,FALSE
DNAJB6,FALSE
HOXA1,FALSE
TMEM209,FALSE
MET,FALSE
CAV1,FALSE
GIGYF1,FALSE
LMBR1,FALSE
AP4M1,FALSE
GPBAR1,FALSE
RP11-466F5.10,TRUE
USP50,TRUE
PRDM10,FALSE
COL12A1,FALSE
SNN,FALSE
AAGAB,FALSE
THAP3,FALSE
RIN1,FALSE
MN1,FALSE
LINC00614,TRUE
VTA1,FALSE
GUCD1,FALSE
TDP2,FALSE
BTN3A3,FALSE
DSE,FALSE
ZCCHC6,FALSE
KDM4D,TRUE
FAM212B,FALSE
RWDD1,FALSE
CPSF1,FALSE
YIF1A,FALSE
NFYA,FALSE
DTX2,FALSE
KDM4E,TRUE
C5orf34,FALSE
TMEM168,FALSE
CD248,FALSE
MITF,FALSE
GPC6,FALSE
ANO4,FALSE
AC144831.1,TRUE
TDP1,FALSE
PTPN11,FALSE
CCDC163P,TRUE
FAM161A,TRUE
AL133318.1,TRUE
YAF2,FALSE
FAM200A,FALSE
ZNF92,FALSE
MPI,FALSE
FOS,FALSE
TMED10,FALSE
LACTB,FALSE
HERC1,FALSE
MDH2,FALSE
TRIP4,FALSE
NEDD4,FALSE
POMZP3,FALSE
PSPH,FALSE
HIST1H4A,FALSE
HCN2,FALSE
ZNF595,FALSE
POLR2E,FALSE
FAM214A,FALSE
RNGTT,FALSE
MAN1A1,FALSE
NIPA1,FALSE
GABRR2,TRUE
CDC34,FALSE
TAS2R7,TRUE
MCM9,FALSE
ASF1A,FALSE
MKNK2,FALSE
WDR44,FALSE
IL13RA1,FALSE
ZBTB11,FALSE
GADD45B,FALSE
CEP85L,FALSE
ZFP1,FALSE
NEDD9,FALSE
PAK1IP1,FALSE
TAS2R9,TRUE
ARG2,FALSE
RP11-438C19.1,TRUE
RP4-597N16.4,TRUE
HRAS,FALSE
ATAD3A,FALSE
HDDC2,FALSE
SEPHS1,FALSE
TAF13,FALSE
ZNF449,FALSE
HINT3,FALSE
NCOA7,FALSE
DZIP3,FALSE
RHBDF2,FALSE
AC138035.2,FALSE
FAM219B,FALSE
AC012313.1,TRUE
HNRNPA3,FALSE
FBXW9,FALSE
RFX1,FALSE
DNAJB1,FALSE
ZRANB2,FALSE
DCAF15,FALSE
TARDBP,FALSE
HIST1H2BB,FALSE
EPS8,FALSE
CC2D1A,FALSE
QRICH2,FALSE
RAP1GAP2,FALSE
RP11-408A13.3,TRUE
RP11-305L7.7,TRUE
INPP5K,FALSE
RPA1,FALSE
SCYL3,FALSE
PKNOX1,FALSE
LHFP,FALSE
WDR4,FALSE
SLC17A8,TRUE
UBR2,FALSE
FTO,FALSE
ZNF561,FALSE
UBE2G1,FALSE
ZNF524,FALSE
UQCRC2,FALSE
ZDHHC24,FALSE
FMN1,FALSE
GNB5,FALSE
BZW2,FALSE
LINC01001,FALSE
ZNF138,FALSE
DBNL,FALSE
NACAD,FALSE
HUS1,FALSE
TBRG4,FALSE
DDX56,FALSE
CCM2,FALSE
TRMT6,FALSE
TTYH3,FALSE
KIF16B,FALSE
IGF2BP3,FALSE
RAC1,FALSE
GPNMB,FALSE
XPC,FALSE
JPX,FALSE
TBC1D13,FALSE
IL6,FALSE
KIAA1432,FALSE
SHOX,FALSE
MAPK6,FALSE
TAF12,FALSE
ASH2L,FALSE
SLC30A9,FALSE
HIST1H2BO,FALSE
TASP1,FALSE
RANBP3,FALSE
CTD-2541M15.4,TRUE
GAL3ST4,FALSE
F8A3,FALSE
HIST1H2BM,FALSE
ZSCAN25,FALSE
RHOQ,FALSE
RP11-383J24.6,FALSE
C5orf47,TRUE
RP11-242F4.2,FALSE
RP11-108L7.14,TRUE
NDUFAB1,FALSE
DHX38,FALSE
H3F3B,FALSE
UNK,FALSE
BCS1L,FALSE
TRIM47,FALSE
ITGB4,TRUE
CTD-2116N20.1,FALSE
KIFC3,FALSE
NLRC5,FALSE
KATNB1,FALSE
LSS,FALSE
CLEC18B,TRUE
ZFHX3,FALSE
TXNL4B,FALSE
NDUFS1,FALSE
MCM3AP,FALSE
PCNT,FALSE
RP11-96L7.2,TRUE
ATAD2B,FALSE
ATL2,FALSE
DENND2A,FALSE
ELFN1,FALSE
MPDZ,FALSE
FUBP3,FALSE
CTSF,FALSE
SBNO2,FALSE
AKAP12,FALSE
SYNE1,FALSE
CTC-462L7.1,TRUE
PPIL4,FALSE
HMG20B,FALSE
YPEL5,FALSE
WAPAL,FALSE
NDST1,FALSE
YIPF4,FALSE
LATS1,FALSE
PLCL2,FALSE
NCAPG2,FALSE
AFTPH,FALSE
B3GNT2,FALSE
NOM1,FALSE
CRIPT,FALSE
EIF4G3,FALSE
ABCB8,FALSE
CNRIP1,FALSE
LGALSL,FALSE
DPH3,FALSE
COX11,FALSE
STXBP4,FALSE
C14orf119,FALSE
FSCN1,FALSE
FERMT2,FALSE
PLEKHA5,FALSE
TNC,FALSE
C21orf33,FALSE
ICOSLG,FALSE
FAM207A,FALSE
AHCTF1,FALSE
RPS6KA3,FALSE
RNF185,FALSE
NLGN4Y,FALSE
ZNF804A,FALSE
TRAPPC10,FALSE
AGPAT3,FALSE
CSTB,FALSE
RRP1,FALSE
RRP1B,FALSE
PDXK,FALSE
U2AF1,FALSE
GRIK1-AS2,TRUE
AASS,FALSE
ACACA,FALSE
LHX1,TRUE
SEMA3A,FALSE
LMNA,FALSE
MED24,FALSE
PAQR6,TRUE
MRM1,FALSE
SEMA3C,FALSE
BAG1,FALSE
RAPGEF1,FALSE
SETX,FALSE
YWHAZ,FALSE
GLA,FALSE
NPDC1,FALSE
APBA1,FALSE
COX6C,FALSE
CRTC2,FALSE
KIF1C,FALSE
REV3L,FALSE
MPDU1,FALSE
FAM189B,FALSE
PLD2,FALSE
GPATCH4,FALSE
DDX58,FALSE
PIN4,FALSE
CTC-297N7.1,TRUE
TEX30,FALSE
TP53INP1,FALSE
SLC25A32,FALSE
DCAF13,FALSE
CTHRC1,FALSE
FZD6,FALSE
GEM,FALSE
KIAA1429,FALSE
MYO6,FALSE
PSMG1,FALSE
PPP1R15A,FALSE
HDAC2,FALSE
GLIS3,FALSE
BAX,FALSE
KIAA0196,FALSE
UBQLN4,FALSE
HIST1H3C,FALSE
KIAA1598,FALSE
RP11-446E9.2,TRUE
ZNF274,FALSE
LAMA2,FALSE
C18orf54,FALSE
KDM1B,FALSE
ZIK1,FALSE
NLN,FALSE
CDKL5,FALSE
SH3RF1,FALSE
TCEB3CL,TRUE
N4BP2,FALSE
RPAIN,FALSE
FAM64A,FALSE
SOX15,TRUE
SLC25A40,FALSE
UBE2K,FALSE
TIMP1,FALSE
ZBTB7B,FALSE
FLAD1,FALSE
ARMC5,FALSE
SPIDR,FALSE
PARN,FALSE
ESF1,FALSE
ZNF770,FALSE
SLC23A2,FALSE
HTATSF1,FALSE
CTD-2619J13.19,TRUE
TMEM230,FALSE
C16orf58,FALSE
ZNHIT2,FALSE
GABRE,FALSE
NUDT16,FALSE
C3orf35,TRUE
NUB1,FALSE
ADAR,FALSE
UBE2Q1,FALSE
FAM65C,FALSE
LITAF,FALSE
NFIX,FALSE
ABHD17B,FALSE
ZNF596,FALSE
BLVRB,FALSE
SF3B3,FALSE
USP11,FALSE
CDK16,FALSE
ZFAND5,FALSE
EXOSC3,FALSE
JADE3,FALSE
ABCA2,FALSE
LINC00642,TRUE
RP2,FALSE
OSGIN2,FALSE
RIPK4,FALSE
FBXO44,FALSE
LGALS4,TRUE
BICD2,FALSE
ZNF513,FALSE
CYTH3,FALSE
MAPRE2,FALSE
STK38L,FALSE
SYPL1,FALSE
ZMYM2,FALSE
SMEK2,FALSE
LYPLA2,FALSE
TMEM109,FALSE
TCEB3,FALSE
PNPT1,FALSE
DTX3,FALSE
ADCY3,FALSE
PPM1B,FALSE
UBA5,FALSE
RAB1A,FALSE
BCLAF1,FALSE
AC011366.3,TRUE
FBXO11,FALSE
EMILIN1,FALSE
HAUS8,FALSE
NKAPL,TRUE
ACTR2,FALSE
SLC5A6,FALSE
PREPL,FALSE
TBC1D1,FALSE
CXorf40B,FALSE
TRIM3,FALSE
CHORDC1,FALSE
DDX23,FALSE
LRPPRC,FALSE
REP15,TRUE
CENPO,FALSE
ADCY6,FALSE
SAPCD2,FALSE
TIMM23B,FALSE
ASAH2B,FALSE
AUTS2,FALSE
AGAP6,FALSE
RUFY2,FALSE
ZNF407,FALSE
HIC2,FALSE
C17orf62,FALSE
ARHGAP33,FALSE
HSPB6,FALSE
THOC2,FALSE
GRIA3,FALSE
ZNF354A,FALSE
FAM120B,FALSE
BYSL,FALSE
MIR181A1HG,FALSE
PLP2,FALSE
SMARCA1,FALSE
B3GNT6,TRUE
PLS3,FALSE
GUCA1B,TRUE
TBP,FALSE
C14orf28,FALSE
IMPA1,FALSE
VBP1,FALSE
KCND1,FALSE
RBBP7,FALSE
LRRCC1,FALSE
NR2C1,FALSE
QKI,FALSE
RP11-461L13.5,TRUE
CENPL,FALSE
ZBTB6,FALSE
TFEB,FALSE
CFH,FALSE
TMEM185A,FALSE
AP4E1,FALSE
PIM2,TRUE
GORAB,FALSE
GEMIN5,FALSE
MRPL22,FALSE
RFC3,FALSE
GPALPP1,FALSE
POSTN,FALSE
GLT8D2,FALSE
STARD13,FALSE
C6orf120,FALSE
LEMD3,FALSE
UTP20,FALSE
ZNF492,FALSE
ZKSCAN3,FALSE
TMPO,FALSE
HIST1H2BL,FALSE
UNC93B1,FALSE
ADAMTSL1,FALSE
DTX4,FALSE
OSBP,FALSE
ATG2A,FALSE
EHD1,FALSE
LPXN,FALSE
GLRX3,FALSE
TSPYL1,FALSE
TDRP,FALSE
CPT1A,FALSE
CCND1,FALSE
TAL2,TRUE
AHCYL2,FALSE
PPP6R3,FALSE
FOXRED1,FALSE
SUV420H1,FALSE
SLC35A2,FALSE
ARID3B,FALSE
EMD,FALSE
ZBTB42,FALSE
ZBTB9,FALSE
PDGFA,FALSE
MAGT1,FALSE
PGK1,FALSE
ATP11B,FALSE
CLK3,FALSE
USP13,FALSE
TAZ,FALSE
AC010536.1,TRUE
PRKCA,FALSE
TMEM66,FALSE
HNRNPH1,FALSE
ADIPOR2,FALSE
CD99L2,FALSE
UBL4A,FALSE
DKFZP667F0711,TRUE
GPR126,FALSE
PLK4,FALSE
HECA,FALSE
EIF5AL1,FALSE
ZFHX4,FALSE
EPT1,FALSE
APAF1,FALSE
SELO,FALSE
CCDC53,FALSE
HADHB,FALSE
SLC10A5,FALSE
HGSNAT,FALSE
COG6,FALSE
SPG20,FALSE
NFYB,FALSE
IFT172,FALSE
TIMP2,FALSE
MTERFD3,FALSE
CBL,FALSE
EDEM1,FALSE
ARL8B,FALSE
BHLHE40,FALSE
OR2B6,TRUE
TBCC,FALSE
PPP1R16A,FALSE
RCC1,FALSE
MED20,FALSE
ARAF,FALSE
HIST1H2BJ,FALSE
CTR9,FALSE
C1orf213,FALSE
UBE4A,FALSE
MAD2L1BP,FALSE
SDF4,FALSE
ATP2A2,FALSE
PRKDC,FALSE
RP11-129I19.2,TRUE
RP11-533E19.7,TRUE
PERP,FALSE
SLC7A2,FALSE
TOMM20,FALSE
HEATR5B,FALSE
STX3,FALSE
HIST1H1A,FALSE
RECQL4,FALSE
ZNF786,FALSE
C6orf62,FALSE
SMAP1,FALSE
RPS12,FALSE
NAV2,FALSE
GMNN,FALSE
FAM111A,FALSE
LDHAL6A,TRUE
ZC3HC1,FALSE
PSPC1,FALSE
TCEAL8,FALSE
TBC1D23,FALSE
HBS1L,FALSE
AC106900.6,TRUE
MRPL54,FALSE
ERCC8,FALSE
CPLX4,FALSE
XRCC5,FALSE
IRAK2,FALSE
RNF141,FALSE
SEC11C,FALSE
KIAA1377,FALSE
LEMD2,FALSE
GALNT18,FALSE
BIRC2,FALSE
ADAMTS6,FALSE
ZNF34,FALSE
TUBE1,FALSE
GLO1,FALSE
CDKN1A,FALSE
PUM2,FALSE
RREB1,FALSE
ATXN1,FALSE
NUP153,FALSE
TRNAU1AP,TRUE
SLC35B3,FALSE
RPP40,FALSE
MCRS1,FALSE
CEP164,FALSE
RBPMS,FALSE
DIP2A,FALSE
DEK,FALSE
LINC00393,FALSE
ARHGEF17,FALSE
MFN1,FALSE
STRN4,FALSE
MED23,FALSE
KLHDC3,FALSE
TADA3,FALSE
EDC3,FALSE
JAGN1,FALSE
TFB1M,FALSE
ICAM1,FALSE
WASF1,FALSE
AIM1,FALSE
ZNF37A,FALSE
ZNF451,FALSE
SAP18,FALSE
N6AMT2,TRUE
BAG2,FALSE
DLG4,FALSE
SEC61A1,FALSE
PTP4A1,FALSE
E2F3,FALSE
ASCC3,FALSE
SIM1,FALSE
PRELID1,FALSE
UPF3B,FALSE
Sep-06,FALSE
CCNC,FALSE
SDF2,FALSE
TMCO3,FALSE
DCUN1D2,FALSE
ADRB2,TRUE
LINC00324,FALSE
TMX3,FALSE
GRAP,TRUE
ADI1,FALSE
ERAL1,FALSE
HSF2,FALSE
C17orf103,FALSE
CD109,FALSE
MUC2,FALSE
LBH,FALSE
BOLA1,TRUE
HMCES,FALSE
EEF1A1,FALSE
FKBP7,FALSE
OSBPL6,FALSE
ZDHHC7,FALSE
DCN,FALSE
WDR70,FALSE
INPP5F,FALSE
SLX4,FALSE
RP11-255C15.4,FALSE
RPS6KC1,FALSE
RASSF5,TRUE
ANKH,FALSE
C2orf66,TRUE
BAZ2A,FALSE
ZNF746,FALSE
SH2B1,FALSE
SLC25A28,FALSE
MADD,FALSE
R3HCC1L,FALSE
SERTAD2,FALSE
GOT1,FALSE
DVL1,FALSE
TRERF1,FALSE
ZFYVE27,FALSE
C10orf76,FALSE
MMS19,FALSE
HTRA1,FALSE
ZNF304,FALSE
HSD17B7,TRUE
FAM229A,FALSE
SFMBT2,FALSE
GRK5,FALSE
ATP9B,FALSE
SERPINB7,FALSE
RP11-46A10.2,TRUE
NCAPH,FALSE
RP11-352G9.1,FALSE
CTA-217C2.1,FALSE
DCLRE1A,FALSE
BTN2A2,FALSE
C12orf4,FALSE
EXOC4,FALSE
RNF139-AS1,FALSE
KIAA1279,FALSE
SGMS1,FALSE
SLC38A9,FALSE
THUMPD1,FALSE
BTN1A1,TRUE
C2CD2,FALSE
AMBRA1,FALSE
SNRPC,FALSE
GPATCH1,FALSE
TAOK2,FALSE
FASTKD1,FALSE
SERPINB6,FALSE
WDR11,FALSE
FRMD8,FALSE
PEX6,FALSE
PPP4C,FALSE
HIRIP3,FALSE
HIST1H4B,FALSE
MX1,TRUE
PVRL1,FALSE
VRK2,FALSE
ABI2,FALSE
WDR12,FALSE
ITGAV,FALSE
PRDX5,FALSE
CHRNA1,TRUE
